BenchMark::doResolutionInterview(AutoRef<DFCPrimaryWindow>,bool)	.text	00401000	00001477	00000060	0000000C	R	.	.	.	.	B	.	.
DFCDataNode::DFCDataNode(String const &)	.text	005C1870	0000007A	00000014	00000004	R	.	.	.	.	B	T	.
DFCDataNode::`scalar deleting destructor'(uint)	.text	005C18E0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
DFCDataNode::~DFCDataNode(void)	.text	005C1910	00000085	0000001C	00000004	R	.	.	.	.	B	T	.
DataValue::DataValue(String)	.text	005C1990	000000A3	0000001C	00000008	R	.	.	.	.	B	T	.
DataValue::~DataValue(void)	.text	005C1A30	0000003A	00000000	00000000	R	.	.	.	.	.	T	.
DataValue::setInt(int)	.text	005C1A70	00000036	00000000	00000000	R	.	.	.	.	.	T	.
DataValue::setFloat(float)	.text	005C1AB0	00000046	00000004	00000004	R	.	.	.	.	B	T	.
DataValue::setString(String const &)	.text	005C1B00	00000090	0000000C	00000004	R	.	.	.	.	B	T	.
DataValue::setBool(bool)	.text	005C1B90	00000046	00000004	00000001	R	.	.	.	.	B	T	.
DataValue::getInt(void)	.text	005C1BE0	00000061	0000000C	00000000	R	.	.	.	.	B	T	.
DataValue::getFloat(void)	.text	005C1C60	0000006B	00000008	00000000	R	.	.	.	.	B	T	.
DataValue::getString(void)	.text	005C1CE0	000001C1	000000DC	00000004	R	.	.	.	.	B	T	.
DataValue::getBool(void)	.text	005C1E80	00000096	00000008	00000000	R	.	.	.	.	.	T	.
DataValue::operator=(DataValue const &)	.text	005C1F30	00000057	00000004	00000000	R	.	.	.	.	.	.	.
DFCClass::DFCClass(void)	.text	005C1FA0	0000007B	00000014	00000004	R	.	.	.	.	B	T	.
DFCClass::`vector deleting destructor'(uint)	.text	005C2000	00000022	00000008	00000001	R	.	.	.	.	B	T	.
DFCClass::DFCClass(String,DFCObject * (*)(void))	.text	005C2030	000000B0	0000001C	0000000C	R	.	.	.	.	B	T	.
DFCClass::AssignID(void)	.text	005C20C0	00000052	00000000	00000000	R	.	.	.	.	.	T	.
DFCClass::newInstance(void)	.text	005C2120	0000003B	00000008	00000000	R	.	.	.	.	B	.	.
DFCClass::getPropertyByName(String const &)	.text	005C2160	00000085	00000014	00000004	R	.	.	.	.	B	T	.
DFCClass::addProperty(DFCProperty *)	.text	005C21F0	00000081	00000014	00000000	R	.	.	.	.	B	T	.
Map<String,int,std::less<String>>::put(String const &,int const &)	.text	005C2260	00000099	00000028	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<String,int,std::less<String>,std::allocator<std::pair<String const,int>>,0>>::erase(String const &)	.text	005C22F0	00000059	00000014	00000004	R	.	.	.	.	B	.	.
DFCClass::getDatatype(void)	.text	005C2350	00000006	00000000	00000000	R	.	.	.	.	.	T	.
BoolClass::~BoolClass(void)	.text	005C2360	00000007	00000000	00000000	R	.	.	.	.	.	T	.
StringClass::getDatatype(void)	.text	005C2370	00000006	00000000	00000000	R	.	.	.	.	.	T	.
BoolClass::getDatatype(void)	.text	005C2380	00000006	00000000	00000000	R	.	.	.	.	.	T	.
FloatClass::getDatatype(void)	.text	005C2390	00000006	00000000	00000000	R	.	.	.	.	.	T	.
DWORDClass::getDatatype(void)	.text	005C23A0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
FloatInterpolatorClass::`vector deleting destructor'(uint)	.text	005C23B0	00000023	00000008	00000001	R	.	.	.	.	B	T	.
createDFCCloneInterface(void)	.text	005C23E0	0000006A	00000014	00000000	R	.	.	.	.	B	T	.
DFCCloneInterface::DFCCloneInterface(void)	.text	005C2440	00000079	00000014	00000004	R	.	.	.	.	B	T	.
DFCCloneInterface::`vector deleting destructor'(uint)	.text	005C24B0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
DFCCloneInterface::~DFCCloneInterface(void)	.text	005C24E0	0000007C	0000001C	00000004	R	.	.	.	.	B	T	.
_register_class_DFCCloneInterface::_register_class_DFCCloneInterface(void)	.text	005C2550	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
DFCCloneInterface::cloneObject(DFCObject *)	.text	005C2690	00000168	00000028	0000000C	R	.	.	.	.	B	.	.
Map<DFCObject *,DFCObject *,std::less<DFCObject *>>::put(DFCObject * const &,DFCObject * const &)	.text	005C27D0	00000031	00000018	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<DFCObject *,DFCObject *,std::less<DFCObject *>,std::allocator<std::pair<DFCObject * const,DFCObject *>>,0>>::erase(DFCObject * const &)	.text	005C2810	0000004E	0000001C	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<DFCObject *,DFCObject *,std::less<DFCObject *>,std::allocator<std::pair<DFCObject * const,DFCObject *>>,0>>::erase(std::_Tree<std::_Tmap_traits<DFCObject *,DFCObject *,std::less<DFCObject *>,std::allocator<std::pair<DFCObject * const,DFCObject *>>,0>>::iterator,std::_Tree<std::_Tmap_traits<DFCObject *,DFCObject *,std::less<DFCObject *>,std::allocator<std::pair<DFCObject * const,DFCObject *>>,0>>::iterator)	.text	005C2860	000000B1	0000000C	0000000C	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<DFCObject *,DFCObject *,std::less<DFCObject *>,std::allocator<std::pair<DFCObject * const,DFCObject *>>,0>>::_Erase(std::_Tree_nod<std::_Tmap_traits<DFCObject *,DFCObject *,std::less<DFCObject *>,std::allocator<std::pair<DFCObject * const,DFCObject *>>,0>>::_Node *)	.text	005C2920	00000038	00000010	00000004	R	.	.	.	.	B	T	.
std::_Tree<std::_Tmap_traits<ulong,String,std::less<ulong>,std::allocator<std::pair<ulong const,String>>,0>>::const_iterator::_Dec(void)	.text	005C2960	00000051	00000000	00000000	R	.	.	.	.	.	.	.
DFCCloneInterface::getClass(void)	.text	005C29C0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createDFCEvent(void)	.text	005C29D0	0000002C	00000000	00000000	R	.	.	.	.	.	T	.
_register_class_DFCEvent::_register_class_DFCEvent(void)	.text	005C2A00	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
_register_class_DFCEventHandlerNode::_register_class_DFCEventHandlerNode(void)	.text	005C2B40	00000166	00000024	00000004	R	.	.	.	.	B	T	.
IEventHandler::~IEventHandler(void)	.text	005C2C80	00000059	00000008	00000000	R	.	.	.	.	B	T	.
EventChannel::~EventChannel(void)	.text	005C2CE0	00000084	00000010	00000000	R	.	.	.	.	B	T	.
EventChannel::doEvent(AutoRef<DFCEvent>)	.text	005C2D70	000001A1	0000002C	00000004	R	.	.	.	.	B	.	.
EventChannel::subscribe(IEventHandler *,int)	.text	005C2F00	000000A4	0000001C	00000004	R	.	.	.	.	B	T	.
EventChannel::unSubscribe(IEventHandler *,int)	.text	005C2F90	00000097	00000010	00000000	R	.	.	.	.	B	T	.
EventChannel::unSubscribeAll(IEventHandler *)	.text	005C3030	000000AB	0000000C	00000004	R	.	.	.	.	B	T	.
EventSystem::EventSystem(void)	.text	005C30E0	00000078	00000018	00000004	R	.	.	.	.	B	T	.
Map<int,EventChannel *,std::less<int>>::~Map<int,EventChannel *,std::less<int>>(void)	.text	005C3150	00000030	0000000C	00000000	R	.	.	.	.	B	.	.
EventSystem::~EventSystem(void)	.text	005C3180	000000EA	00000020	00000004	R	.	.	.	.	B	T	.
EventSystem::getChannel(int)	.text	005C3250	00000088	0000001C	00000008	R	.	.	.	.	B	T	.
List<EventChannel::Subscription>::add(EventChannel::Subscription)	.text	005C32E0	00000044	00000014	00000008	R	.	.	.	.	B	.	.
List<EventChannel::Subscription>::contains(EventChannel::Subscription)	.text	005C3330	00000031	00000008	00000008	R	.	.	.	.	B	.	.
List<EventChannel::Subscription>::Iterator::remove(void)	.text	005C3370	0000002D	00000004	00000000	R	.	.	.	.	.	.	.
std::_Tree<std::_Tmap_traits<int,EventChannel *,std::less<int>,std::allocator<std::pair<int const,EventChannel *>>,0>>::erase(int const &)	.text	005C33A0	0000004E	0000001C	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<int,EventChannel *,std::less<int>,std::allocator<std::pair<int const,EventChannel *>>,0>>::_Erase(std::_Tree_nod<std::_Tmap_traits<int,EventChannel *,std::less<int>,std::allocator<std::pair<int const,EventChannel *>>,0>>::_Node *)	.text	005C33F0	00000038	00000010	00000004	R	.	.	.	.	B	T	.
std::_Tree<std::_Tmap_traits<int,EventChannel *,std::less<int>,std::allocator<std::pair<int const,EventChannel *>>,0>>::erase(std::_Tree<std::_Tmap_traits<int,EventChannel *,std::less<int>,std::allocator<std::pair<int const,EventChannel *>>,0>>::iterator,std::_Tree<std::_Tmap_traits<int,EventChannel *,std::less<int>,std::allocator<std::pair<int const,EventChannel *>>,0>>::iterator)	.text	005C3430	000000B1	0000000C	0000000C	R	.	.	.	.	B	.	.
std::list<EventChannel::Subscription>::_Buynode(std::_List_nod<EventChannel::Subscription>::_Node *,std::_List_nod<EventChannel::Subscription>::_Node *,EventChannel::Subscription const &)	.text	005C34F0	0000002B	00000004	00000008	R	.	.	.	.	B	.	.
std::list<EventChannel::Subscription>::_Incsize(uint)	.text	005C3520	00000099	00000058	00000000	R	.	.	.	.	B	.	.
IEventHandler::subscribed(EventChannel *)	.text	005C35B0	000000AE	00000020	00000004	R	.	.	.	.	B	T	.
DFCKernel::getInstance(void)	.text	005C3650	00000095	00000010	00000000	R	.	.	.	.	B	T	.
DFCKernel::~DFCKernel(void)	.text	005C36D0	00000030	0000000C	00000000	R	.	.	.	.	B	T	.
DFCKernel::registerClass(String const &,DFCObject * (*)(void))	.text	005C3700	00000113	00000020	00000008	R	.	.	.	.	B	T	.
DFCKernel::InitializeClasses(void)	.text	005C3800	0000005A	00000008	00000000	R	.	.	.	.	B	T	.
Map<String,AutoRef<DFCClass>,std::less<String>>::put(String const &,AutoRef<DFCClass> const &)	.text	005C3860	0000007B	00000028	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<String,AutoRef<DFCClass>,std::less<String>,std::allocator<std::pair<String const,AutoRef<DFCClass>>>,0>>::erase(String const &)	.text	005C38D0	00000059	00000014	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<String,AutoRef<DFCClass>,std::less<String>,std::allocator<std::pair<String const,AutoRef<DFCClass>>>,0>>::erase(std::_Tree<std::_Tmap_traits<String,AutoRef<DFCClass>,std::less<String>,std::allocator<std::pair<String const,AutoRef<DFCClass>>>,0>>::iterator,std::_Tree<std::_Tmap_traits<String,AutoRef<DFCClass>,std::less<String>,std::allocator<std::pair<String const,AutoRef<DFCClass>>>,0>>::iterator)	.text	005C3930	000000B1	0000000C	0000000C	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<String,AutoRef<DFCClass>,std::less<String>,std::allocator<std::pair<String const,AutoRef<DFCClass>>>,0>>::_Erase(std::_Tree_nod<std::_Tmap_traits<String,AutoRef<DFCClass>,std::less<String>,std::allocator<std::pair<String const,AutoRef<DFCClass>>>,0>>::_Node *)	.text	005C39F0	0000003F	00000010	00000004	R	.	.	.	.	B	T	.
createDFCNode(void)	.text	005C3A30	0000006A	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_DFCNode::_register_class_DFCNode(void)	.text	005C3A90	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
PropertyDFCNodeName::setValue(DFCObject *,String const &)	.text	005C3BD0	00000013	00000004	00000008	R	.	.	.	.	B	T	.
NameGCObjectName::getName(void)	.text	005C3BF0	00000031	00000010	00000004	R	.	.	.	.	B	T	.
PropertyDFCNodeName::getDeclaringClass(void)	.text	005C3C30	00000006	00000000	00000000	R	.	.	.	.	.	T	.
DFCNode::DFCNode(void)	.text	005C3C40	0000011E	00000018	00000004	R	.	.	.	.	B	T	.
DFCNode::`scalar deleting destructor'(uint)	.text	005C3D20	00000022	00000008	00000001	R	.	.	.	.	B	T	.
DFCNode::DFCNode(String const &)	.text	005C3D50	00000142	0000001C	00000004	R	.	.	.	.	B	T	.
DFCNode::~DFCNode(void)	.text	005C3E50	00000134	00000014	00000004	R	.	.	.	.	B	T	.
DFCNode::setName(String const &)	.text	005C3F40	00000054	00000004	00000004	R	.	.	.	.	B	T	.
DFCNode::setNodeName(String const &,DFCNode *)	.text	005C3FA0	0000003B	00000008	00000008	R	.	.	.	.	B	T	.
DFCNode::addFront(DFCNode *)	.text	005C3FE0	0000006C	00000010	00000004	R	.	.	.	.	B	T	.
DFCNode::addBack(DFCNode *)	.text	005C4050	00000060	00000010	00000004	R	.	.	.	.	B	T	.
DFCNode::addAfter(DFCNode *)	.text	005C40B0	00000093	00000014	00000004	R	.	.	.	.	B	T	.
DFCNode::remove(DFCNode *)	.text	005C4150	000001D3	00000020	00000004	R	.	.	.	.	B	T	.
DFCNode::clear(void)	.text	005C4320	000001B3	00000024	00000000	R	.	.	.	.	B	T	.
DFCNode::registerNode(void)	.text	005C44C0	00000018	00000004	00000000	R	.	.	.	.	.	T	.
DFCNode::unregisterNode(void)	.text	005C44E0	00000018	00000004	00000000	R	.	.	.	.	.	T	.
DFCNode::moveChildUp(DFCNode *)	.text	005C4500	0000001F	0000000C	00000004	R	.	.	.	.	B	T	.
DFCNode::moveChildDown(DFCNode *)	.text	005C4520	0000001F	0000000C	00000004	R	.	.	.	.	B	T	.
DFCNode::getRoot(void)	.text	005C4540	0000001A	00000000	00000000	R	.	.	.	.	.	T	.
DFCNode::getNodeByName(String const &)	.text	005C4560	00000035	0000000C	00000004	R	.	.	.	.	B	T	.
DFCNode::getNodeByRef(String const &)	.text	005C45A0	0000015A	00000020	00000004	R	.	.	.	.	B	T	.
DFCNode::getNodeByType(DFCClass *)	.text	005C46F0	00000057	00000010	00000004	R	.	.	.	.	B	T	.
DFCNode::findNodeByName(String const &)	.text	005C4750	0000003B	0000000C	00000004	R	.	.	.	.	B	T	.
DFCNode::findNodeByType(DFCClass *)	.text	005C4790	0000003B	0000000C	00000004	R	.	.	.	.	B	T	.
DFCNode::getNodeByNameNoCase(String const &)	.text	005C47D0	00000073	00000010	00000004	R	.	.	.	.	B	T	.
DFCNode::findNodeByNameNoCase(String const &)	.text	005C4850	0000003B	0000000C	00000004	R	.	.	.	.	B	T	.
DFCNode::getRef(void)	.text	005C4890	0000011E	00000028	00000004	R	.	.	.	.	B	T	.
DFCNode::getRelativeRef(DFCNode *)	.text	005C49A0	00000153	00000028	00000008	R	.	.	.	.	B	T	.
DFCNode::shouldWriteObject(void)	.text	005C4AF0	00000013	00000000	00000000	R	.	.	.	.	.	T	.
DFCNode::writeObject(DFCOutputStream *)	.text	005C4B10	000000A8	00000018	00000004	R	.	.	.	.	B	T	.
DFCNode::readObject(DFCInputStream *,int)	.text	005C4BC0	000000C1	0000001C	00000008	R	.	.	.	.	B	T	.
DFCNode::cloneCopy(DFCCloneInterface *,DFCObject *)	.text	005C4C70	000000C8	0000001C	00000008	R	.	.	.	.	B	T	.
DFCNode::OnPostLoad(DFCNode *,int)	.text	005C4D30	0000002D	00000008	00000008	R	.	.	.	.	B	T	.
operator>>(DFCInputStream &,String &)	.text	005C4D60	00000046	0000000C	00000004	R	.	.	.	.	B	.	.
DFCObject::`scalar deleting destructor'(uint)	.text	005C4DB0	00000021	00000008	00000001	R	.	.	.	.	B	T	.
DFCObject::~DFCObject(void)	.text	005C4DE0	00000007	00000000	00000000	R	.	.	.	.	.	T	.
DFCObject::equals(DFCObject *)	.text	005C4DF0	0000000F	00000004	00000004	R	.	.	.	.	B	T	.
DFCObject::clone(void)	.text	005C4E00	000000DC	00000020	00000004	R	.	.	.	.	B	.	.
DFCObject::toString(void)	.text	005C4EB0	00000082	0000001C	00000004	R	.	.	.	.	B	.	.
DWORDProperty::getType(void)	.text	005C4F20	00000006	00000000	00000000	R	.	.	.	.	.	T	.
FloatProperty::getType(void)	.text	005C4F30	00000006	00000000	00000000	R	.	.	.	.	.	T	.
BoolProperty::getType(void)	.text	005C4F40	00000006	00000000	00000000	R	.	.	.	.	.	T	.
StringProperty::getType(void)	.text	005C4F50	00000006	00000000	00000000	R	.	.	.	.	.	T	.
BitFieldProperty::getType(void)	.text	005C4F60	00000006	00000000	00000000	R	.	.	.	.	.	T	.
IntProperty::write(DFCObject *,DFCOutputStream *)	.text	005C4F70	00000021	00000004	00000008	R	.	.	.	.	B	T	.
IntProperty::read(DFCObject *,DFCInputStream *)	.text	005C4FA0	00000032	0000000C	00000008	R	.	.	.	.	B	T	.
IntProperty::clone(DFCObject *,DFCObject *)	.text	005C4FE0	00000020	0000000C	00000008	R	.	.	.	.	B	T	.
DWORDProperty::write(DFCObject *,DFCOutputStream *)	.text	005C5000	00000021	00000004	00000008	R	.	.	.	.	B	T	.
DWORDProperty::read(DFCObject *,DFCInputStream *)	.text	005C5030	00000032	0000000C	00000008	R	.	.	.	.	B	T	.
DWORDProperty::clone(DFCObject *,DFCObject *)	.text	005C5070	00000020	0000000C	00000008	R	.	.	.	.	B	T	.
FloatProperty::write(DFCObject *,DFCOutputStream *)	.text	005C5090	00000021	00000004	00000008	R	.	.	.	.	B	T	.
FloatProperty::read(DFCObject *,DFCInputStream *)	.text	005C50C0	00000032	0000000C	00000008	R	.	.	.	.	B	T	.
FloatProperty::clone(DFCObject *,DFCObject *)	.text	005C5100	00000023	00000014	00000008	R	.	.	.	.	B	T	.
BoolProperty::write(DFCObject *,DFCOutputStream *)	.text	005C5130	0000002A	00000004	00000008	R	.	.	.	.	B	T	.
BoolProperty::read(DFCObject *,DFCInputStream *)	.text	005C5160	00000039	0000000C	00000008	R	.	.	.	.	B	T	.
BoolProperty::clone(DFCObject *,DFCObject *)	.text	005C51A0	00000020	0000000C	00000008	R	.	.	.	.	B	T	.
StringProperty::write(DFCObject *,DFCOutputStream *)	.text	005C51C0	00000094	00000014	00000008	R	.	.	.	.	B	T	.
StringProperty::read(DFCObject *,DFCInputStream *)	.text	005C5250	00000069	00000014	00000008	R	.	.	.	.	B	T	.
StringProperty::clone(DFCObject *,DFCObject *)	.text	005C52B0	0000006C	00000014	00000008	R	.	.	.	.	B	T	.
EnumProperty::EnumProperty(String const &)	.text	005C5310	0000020D	00000038	00000008	R	.	.	.	.	B	T	.
BitFieldProperty::BitFieldProperty(String const &)	.text	005C54E0	00000142	0000002C	00000008	R	.	.	.	.	B	T	.
EnumProperty::`scalar deleting destructor'(uint)	.text	005C55F0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
BitFieldProperty::setValue(DFCObject *,String const &)	.text	005C5620	0000013E	00000034	00000008	R	.	.	.	.	B	T	.
EnumProperty::getEnumeration(void)	.text	005C5750	0000010E	00000034	00000004	R	.	.	.	.	B	.	.
BitFieldProperty::isValidEnumerationValue(String const &)	.text	005C5850	000000CD	00000024	00000004	R	.	.	.	.	B	T	.
BitFieldProperty::NextTokenInEnumeration(String const &,uint &,String &)	.text	005C5920	00000116	00000010	00000008	R	.	.	.	.	B	T	.
BitFieldProperty::getEnumerationString(int,String &)	.text	005C5A40	0000009A	00000018	00000008	R	.	.	.	.	B	T	.
InterpolatorProperty::write(DFCObject *,DFCOutputStream *)	.text	005C5AE0	00000003	00000000	00000000	R	.	.	.	.	.	T	.
DFCSystem::InitTime(void)	.text	005C5AF0	00000069	00000004	00000000	R	.	.	.	.	.	T	.
DFCSystem::GetCentralTime(_SYSTEMTIME &)	.text	005C5B60	00000015	00000000	00000000	R	.	.	.	.	.	T	.
String::toLowerCase(bool)	.text	005C5B80	0000004B	00000004	00000001	R	.	.	.	.	B	T	.
String::asLowerCase(bool)	.text	005C5BD0	0000006F	00000010	00000004	R	.	.	.	.	B	T	.
String::toInt(int)	.text	005C5C40	0000003B	00000008	00000000	R	.	.	.	.	B	T	.
String::skipWhitespace(uint)	.text	005C5C80	00000043	00000004	00000000	R	.	.	.	.	.	T	.
String::stripWhitespace(void)	.text	005C5CF0	00000134	00000010	00000004	R	.	.	.	.	B	T	.
String::trim(void)	.text	005C5E50	000000D5	00000018	00000004	R	.	.	.	.	B	T	.
String::reverse(void)	.text	005C5F50	0000003D	00000000	00000000	R	.	.	.	.	.	T	.
String::Find(char const *,uint,uint)	.text	005C5F90	000000DD	0000000C	0000000C	R	.	.	.	.	B	T	.
String::RFind(char const *,uint,uint)	.text	005C6070	00000093	00000010	00000008	R	.	.	.	.	B	T	.
String::valueOf(int,int)	.text	005C6110	00000105	00000038	00000000	R	.	.	.	.	B	T	.
String::valueOf(uint,int)	.text	005C6220	000000E5	00000034	00000000	R	.	.	.	.	B	T	.
String::valueOf(double,int)	.text	005C6310	000001D5	00000014	00000010	R	.	.	.	.	B	T	.
String::valueOf(bool)	.text	005C64F0	0000006C	00000010	00000004	R	.	.	.	.	B	T	.
String::Format(char const *,...)	.text	005C6560	00000063	00000408	00000005	R	.	.	.	.	B	T	.
std::vector<uchar>::resize(uint,uchar)	.text	005C65D0	0000006B	00000008	00000001	R	.	.	.	.	B	.	.
std::vector<uchar>::operator=(std::vector<uchar> const &)	.text	005C6640	00000132	0000000C	00000004	R	.	.	.	.	B	.	.
std::vector<uchar>::_Insert<uchar *>(std::vector<uchar>::iterator,uchar *,uchar *,std::forward_iterator_tag)	.text	005C6780	000001B6	00000010	0000000C	R	.	.	.	.	B	T	.
DFCByteOutputStream::write(void const *,int)	.text	005C6940	00000032	00000004	00000008	R	.	.	.	.	B	T	.
std::vector<char>::reserve(uint)	.text	005C6980	000000C6	00000024	00000004	R	.	.	.	.	B	T	.
DFCDelayBufferedOutputStream::DFCDelayBufferedOutputStream(AutoRef<DFCOutputStream>)	.text	005C6A40	00000104	0000001C	00000008	R	.	.	.	.	B	.	.
DFCDelayBufferedOutputStream::`scalar deleting destructor'(uint)	.text	005C6B20	00000022	00000008	00000001	R	.	.	.	.	B	T	.
DFCDelayBufferedOutputStream::~DFCDelayBufferedOutputStream(void)	.text	005C6B50	000000AA	0000001C	00000004	R	.	.	.	.	B	T	.
DFCDelayBufferedOutputStream::close(void)	.text	005C6BF0	00000019	00000004	00000000	R	.	.	.	.	.	T	.
DFCDelayBufferedOutputStream::write(void const *,int)	.text	005C6C10	00000028	0000000C	00000008	R	.	.	.	.	B	T	.
DFCDelayBufferedOutputStream::flush(void)	.text	005C6C40	00000064	00000008	00000000	R	.	.	.	.	.	T	.
DFCDelayBufferedOutputStream::tryFlush(void)	.text	005C6CB0	0000007D	00000008	00000000	R	.	.	.	.	B	T	.
DFCDelayBufferedOutputStream::clearAt(int)	.text	005C6D30	0000003F	00000000	00000000	R	.	.	.	.	.	T	.
DFCDelayBufferedOutputStream::writeAt(int,void const *,int)	.text	005C6D70	0000006D	0000000C	00000000	R	.	.	.	.	B	T	.
DFCDelayBufferedOutputStream::getBuffer(int,int &)	.text	005C6DE0	0000004C	00000000	00000000	R	.	.	.	.	.	T	.
DFCFile::newInstance(String const &)	.text	005C6E30	000000C3	00000020	00000004	R	.	.	.	.	B	T	.
DFCFile::DFCFile(String)	.text	005C6EE0	000000E5	00000034	00000008	R	.	.	.	.	B	.	.
DFCFilePointer::~DFCFilePointer(void)	.text	005C6FB0	00000024	00000000	00000000	R	.	.	.	.	.	T	.
FileAttributes::~FileAttributes(void)	.text	005C6FE0	00000024	00000000	00000000	R	.	.	.	.	.	T	.
FileAttributes::operator=(FileAttributes const &)	.text	005C7010	0000006B	00000004	00000000	R	.	.	.	.	.	.	.
DFCFile::getInputStream(void)	.text	005C7080	000000AA	00000018	00000004	R	.	.	.	.	B	.	.
DFCFile::getOutputStream(void)	.text	005C7120	00000086	00000018	00000004	R	.	.	.	.	B	.	.
DFCFile::getFiles(String const &,bool)	.text	005C71A0	00000299	00000068	0000000C	R	.	.	.	.	B	.	.
DFCFile::recurseFiles(AutoRef<DFCFilePointer>,Vector<AutoRef<DFCFilePointer>> &,String const &)	.text	005C73F0	000001DE	00000044	0000000C	R	.	.	.	.	B	.	.
DFCFile::getDirectories(String const &,bool)	.text	005C75B0	00000189	00000048	00000008	R	.	.	.	.	B	T	.
DFCFile::recurseDirectories(AutoRef<DFCFilePointer>,Vector<AutoRef<DFCFilePointer>> &,String const &)	.text	005C7700	00000154	00000048	0000000C	R	.	.	.	.	B	T	.
DFCFile::createFile(String const &)	.text	005C7840	0000023E	0000002C	00000008	R	.	.	.	.	B	T	.
DFCFile::deleteFile(String const &)	.text	005C7A40	000000FC	00000018	00000004	R	.	.	.	.	B	T	.
DFCFile::createDirectory(String const &)	.text	005C7B40	00000221	0000002C	00000008	R	.	.	.	.	B	T	.
Vector<AutoRef<DFCFilePointer>>::Iterator::remove(void)	.text	005C7D20	00000060	00000014	00000004	R	.	.	.	.	B	.	.
std::vector<AutoRef<DFCFilePointer>>::_Insert<std::vector<AutoRef<DFCFilePointer>>::iterator>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,std::forward_iterator_tag)	.text	005C7D80	0000029A	00000030	00000010	R	.	.	.	.	B	.	.
std::_Sort<std::vector<AutoRef<DFCFilePointer>>::iterator,int,bool (*)(AutoRef<DFCFilePointer>,AutoRef<DFCFilePointer>)>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,int,bool (*)(AutoRef<DFCFilePointer>,AutoRef<DFCFilePointer>))	.text	005C8010	000000DF	00000018	00000010	R	.	.	.	.	B	.	.
std::vector<AutoRef<DFCFilePointer>>::_Ucopy<std::vector<AutoRef<DFCFilePointer>>::iterator>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,AutoRef<DFCFilePointer> *)	.text	005C80F0	0000001E	00000004	00000010	R	.	.	.	.	B	.	.
std::copy<std::vector<AutoRef<DFCFilePointer>>::iterator,AutoRef<DFCFilePointer> *>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,AutoRef<DFCFilePointer> *)	.text	005C8110	0000001F	00000008	0000000C	R	.	.	.	.	B	.	.
std::_Unguarded_partition<std::vector<AutoRef<DFCFilePointer>>::iterator,bool (*)(AutoRef<DFCFilePointer>,AutoRef<DFCFilePointer>)>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,bool (*)(AutoRef<DFCFilePointer>,AutoRef<DFCFilePointer>))	.text	005C8130	0000037E	00000020	00000010	R	.	.	.	.	B	.	.
std::_Uninit_copy<std::vector<AutoRef<DFCFilePointer>>::const_iterator,AutoRef<DFCFilePointer> *,std::allocator<AutoRef<DFCFilePointer>>>(std::vector<AutoRef<DFCFilePointer>>::const_iterator,std::vector<AutoRef<DFCFilePointer>>::const_iterator,AutoRef<DFCFilePointer> *,std::allocator<AutoRef<DFCFilePointer>> &,std::_Nonscalar_ptr_iterator_tag)	.text	005C84B0	00000036	00000008	00000008	R	.	.	.	.	B	.	.
std::_Copy_opt<std::vector<AutoRef<DFCFilePointer>>::iterator,AutoRef<DFCFilePointer> *>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,AutoRef<DFCFilePointer> *,std::_Nonscalar_ptr_iterator_tag)	.text	005C84F0	00000056	0000000C	00000008	R	.	.	.	.	B	.	.
std::_Med3<std::vector<AutoRef<DFCFilePointer>>::iterator,bool (*)(AutoRef<DFCFilePointer>,AutoRef<DFCFilePointer>)>(std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,std::vector<AutoRef<DFCFilePointer>>::iterator,bool (*)(AutoRef<DFCFilePointer>,AutoRef<DFCFilePointer>))	.text	005C8550	000000F0	00000014	00000010	R	.	.	.	.	B	.	.
